place,population,income,povertycount
"Autauga County, Alabama",55380,29819,24522
"Baldwin County, Alabama",212830,32626,95091
"Barbour County, Alabama",25361,18473,8413
"Bibb County, Alabama",22493,20778,8387
"Blount County, Alabama",57681,24747,21917
"Bullock County, Alabama",10248,20877,4319
"Butler County, Alabama",19828,21038,7930
"Calhoun County, Alabama",114618,25345,47896
"Chambers County, Alabama",33660,22729,14877
"Cherokee County, Alabama",25903,24301,9980
"Chilton County, Alabama",44055,24658,17526
"Choctaw County, Alabama",12925,22308,4173
"Clarke County, Alabama",24128,22225,7770
"Clay County, Alabama",13337,23519,5527
"Cleburne County, Alabama",14916,23142,5707
"Coffee County, Alabama",51662,27806,21907
"Colbert County, Alabama",54771,25536,22832
"Conecuh County, Alabama",12394,19769,4232
"Coosa County, Alabama",10757,23694,4202
"Covington County, Alabama",37200,23687,14822
"Crenshaw County, Alabama",13844,24563,5668
"Cullman County, Alabama",82853,23468,34228
"Dale County, Alabama",49277,24645,17994
"Dallas County, Alabama",39149,19612,14347
"DeKalb County, Alabama",71310,21907,29639
"Elmore County, Alabama",81144,29052,34180
"Escambia County, Alabama",37057,19028,12786
"Etowah County, Alabama",102748,24883,42650
"Fayette County, Alabama",16494,22483,6337
"Franklin County, Alabama",31466,21641,12840
"Geneva County, Alabama",26417,21711,10294
"Greene County, Alabama",8324,14884,2396
"Hale County, Alabama",14809,21191,5355
"Henry County, Alabama",17133,25276,6920
"Houston County, Alabama",104702,27097,44374
"Jackson County, Alabama",51852,22596,20352
"Jefferson County, Alabama",659680,32098,304994
"Lamar County, Alabama",13885,22636,5244
"Lauderdale County, Alabama",92556,28033,40287
"Lawrence County, Alabama",33058,23450,12445
"Lee County, Alabama",161152,27860,74770
"Limestone County, Alabama",94727,28411,40510
"Lowndes County, Alabama",10079,20209,3430
"Macon County, Alabama",18708,20419,7064
"Madison County, Alabama",362276,36620,176910
"Marengo County, Alabama",19321,25635,6778
"Marion County, Alabama",29866,21311,11851
"Marshall County, Alabama",95643,24453,39193
"Mobile County, Alabama",414114,25861,174519
"Monroe County, Alabama",21270,20527,6423
"Montgomery County, Alabama",226941,29071,101013
"Morgan County, Alabama",119213,27367,51903
"Perry County, Alabama",9293,15055,2571
"Pickens County, Alabama",20243,23024,7017
"Pike County, Alabama",33333,22453,13992
"Randolph County, Alabama",22647,24721,8764
"Russell County, Alabama",57952,23470,23616
"St. Clair County, Alabama",87989,26409,38507
"Shelby County, Alabama",213432,38549,106839
"Sumter County, Alabama",12797,16799,4291
"Talladega County, Alabama",80387,23305,31166
"Tallapoosa County, Alabama",40541,25217,15119
"Tuscaloosa County, Alabama",207305,26789,93667
"Walker County, Alabama",64110,23882,24414
"Washington County, Alabama",16541,26752,5582
"Wilcox County, Alabama",10681,16841,2995
"Winston County, Alabama",23784,22952,9120
"Aleutians East Borough, Alaska",3385,33939,2306
"Aleutians West Census Area, Alaska",5698,39647,3830
"Anchorage Municipality, Alaska",293531,41415,148021
"Bethel Census Area, Alaska",18134,19885,6243
"Bristol Bay Borough, Alaska",875,44168,468
"Denali Borough, Alaska",2246,34365,1508
"Dillingham Census Area, Alaska",4961,25993,2030
"Fairbanks North Star Borough, Alaska",99072,37025,45538
"Haines Borough, Alaska",2518,31731,1181
"Hoonah-Angoon Census Area, Alaska",2139,36091,1030
"Juneau City and Borough, Alaska",32227,43680,17132
"Kenai Peninsula Borough, Alaska",58464,34226,25314
